watch_model,model_number,color,in_stock,price,description,bullet_details,review_count,rating,review_text,url
"Bold Evolution Bracelet Watch, 40mm",4944904,Blue,Yes,$595.00,A signature Museum dot at 12 o'clock accents an elegantly understated timepiece with a beautiful sunray dial.,"40mm case; 21mm band width
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store
Deployant clasp closure
Swiss movement
K1 mineral crystal face
Stainless steel/ionic plate
Imported
Item #5234868",3,5,"['love this watch\nI ordered this watch online and it looks just as sharp in person as it does online! It arrived 4 days sooner than expected and in perfect condition! Great quality watch for the price! I am extremely happy with this purchase!\nTMP5 Sweepstakes entry\nDec 4, 2019', ""Love it - beautiful watch\nI love the size of this watch. Was a little worried about spending so much on a watch without the hour marks, but it's so pretty I decided to take the plunge with fingers crossed I would get used to it. It took about a week, now I'm totally fine, don't miss them at all! I also like that it's not a really heavy watch - it's not lightweight, but it's not as heavy as other watches this size I've had in the past.\nDallasEducator Sweepstakes entry\nMay 29, 2019"", 'Husbands movado\nBrought this for my husband and he absolutely loved it. The fit was perfect, he has a normal wrist size for a man. It looks good on him also..lol\nMovadolove Sweepstakes entry\nFeb 4, 2019']",https://shop.nordstrom.com/s/movado-bold-evolution-bracelet-watch-40mm/4944904?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gunmetal
"Bold Evolution Bracelet Watch, 40mm",4944904,Gold,Yes,$486.50,A signature Museum dot at 12 o'clock accents an elegantly understated timepiece with a beautiful sunray dial.,"40mm case; 21mm band width
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store
Deployant clasp closure
Swiss movement
K1 mineral crystal face
Stainless steel/ionic plate
Imported
Item #5234868",3,5,"['love this watch\nI ordered this watch online and it looks just as sharp in person as it does online! It arrived 4 days sooner than expected and in perfect condition! Great quality watch for the price! I am extremely happy with this purchase!\nTMP5 Sweepstakes entry\nDec 4, 2019', ""Love it - beautiful watch\nI love the size of this watch. Was a little worried about spending so much on a watch without the hour marks, but it's so pretty I decided to take the plunge with fingers crossed I would get used to it. It took about a week, now I'm totally fine, don't miss them at all! I also like that it's not a really heavy watch - it's not lightweight, but it's not as heavy as other watches this size I've had in the past.\nDallasEducator Sweepstakes entry\nMay 29, 2019"", 'Husbands movado\nBrought this for my husband and he absolutely loved it. The fit was perfect, he has a normal wrist size for a man. It looks good on him also..lol\nMovadolove Sweepstakes entry\nFeb 4, 2019']",https://shop.nordstrom.com/s/movado-bold-evolution-bracelet-watch-40mm/4944904?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gunmetal
"Bold Evolution Bracelet Watch, 40mm",4944904,Gunmetal,Yes,$595.00,A signature Museum dot at 12 o'clock accents an elegantly understated timepiece with a beautiful sunray dial.,"40mm case; 21mm band width
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store
Deployant clasp closure
Swiss movement
K1 mineral crystal face
Stainless steel/ionic plate
Imported
Item #5234868",3,5,"['love this watch\nI ordered this watch online and it looks just as sharp in person as it does online! It arrived 4 days sooner than expected and in perfect condition! Great quality watch for the price! I am extremely happy with this purchase!\nTMP5 Sweepstakes entry\nDec 4, 2019', ""Love it - beautiful watch\nI love the size of this watch. Was a little worried about spending so much on a watch without the hour marks, but it's so pretty I decided to take the plunge with fingers crossed I would get used to it. It took about a week, now I'm totally fine, don't miss them at all! I also like that it's not a really heavy watch - it's not lightweight, but it's not as heavy as other watches this size I've had in the past.\nDallasEducator Sweepstakes entry\nMay 29, 2019"", 'Husbands movado\nBrought this for my husband and he absolutely loved it. The fit was perfect, he has a normal wrist size for a man. It looks good on him also..lol\nMovadolove Sweepstakes entry\nFeb 4, 2019']",https://shop.nordstrom.com/s/movado-bold-evolution-bracelet-watch-40mm/4944904?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gunmetal
"Bold Mesh Bracelet Watch, 42mm",5247100,Gold,Yes,$495.00,"Simple and streamlined, the iconic Museum dot sits front and center on the indexless face of this everlasting timepiece you'll love wearing.","42mm case
Push-button deployant clasp closure
Two-hand quartz movement
K1 mineral crystal face
Stainless steel or stainless steel with gold ionic plate
Imported
Item #5825144",0,NA,[],https://shop.nordstrom.com/s/movado-bold-mesh-bracelet-watch-42mm/5247100?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver
"Bold Mesh Bracelet Watch, 42mm",5247100,Silver,Yes,$395.00,"Simple and streamlined, the iconic Museum dot sits front and center on the indexless face of this everlasting timepiece you'll love wearing.","42mm case
Push-button deployant clasp closure
Two-hand quartz movement
K1 mineral crystal face
Stainless steel or stainless steel with gold ionic plate
Imported
Item #5825144",0,NA,[],https://shop.nordstrom.com/s/movado-bold-mesh-bracelet-watch-42mm/5247100?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver
"Heritage Chronograph Bracelet Watch, 42mm",5523030,Silver/ Blue/ Silver,Yes,$995.00,"This borrowed-from-the-archives timepiece is a sportier rendition of the original Calendoplan model, featuring a Swiss chronograph movement and rotating bezel.","42mm case; 21mm band width
Adjustable bracelet; links can be removed at your local Nordstrom. Find a store
Butterfly clasp closure
Swiss quartz movement
Date window
Sapphire crystal face
Stainless steel or stainless steel with ionic plate
Swiss made
Item #5923968_1",1,5,"['Great Watch, Subtle Statement\nThis watch is a great subtle statement piece. It was the perfect wedding gift for my husband!\nKadenR Sweepstakes entry\nNov 4, 2019']",https://shop.nordstrom.com/s/movado-heritage-chronograph-bracelet-watch-42mm/5523030?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver%2F%20blue%2F%20silver
"Bold Chronograph Leather Strap Watch, 42mm",5402193,Cognac/ Blue,Yes,$395.00,"Offering sophisticated functionality, this timepiece boasts an accurate Swiss movement, clean chronograph sunray dial and iconic Museum dot.","42mm case; 21mm band width
Buckle closure
Swiss quartz movement
Date window
Day, 60-minute and 30-minute subdials
Mineral crystal face
Stainless steel with ionic plate/leather
Imported
Item #5923947",1,5,"[""Super classy, sophisticated, stylish & unique\nBeautifully-made watch. Very classy. Got it as a gift for my boyfriend who I have never seen wear a watch, now he wears this everyday! Movado has gorgeous watches in general and I could not for the life of me decide which one to get, but I picked the blue because it's unique - I have never seen a navy-faced watch executed so well. I love navy and brown colors together. Also love the chronograph details. The color in the photo definitely appears to be lighter than in person. It is actually a darker shade, and the lines and hands and not as visible than in the photo, but this doesn't affect how much we love it!\nnina_nyc Sweepstakes entry\nJan 8, 2020""]",https://shop.nordstrom.com/s/movado-bold-chronograph-leather-strap-watch-42mm/5402193?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=cognac%2F%20blue
"Bold Chronograph Bracelet Watch, 44mm",3971613,Gold,Yes,$696.50,Precise chronograph complication fine-tunes the shining sunray dial of this slick monochrome bracelet watch. Movado's signature Museum dot and stylized indexes detail the beautiful look.,"44mm case; 21mm band width
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store
Deployant clasp closure
Swiss quartz movement
Date function
K-1 mineral crystal face
Stainless steel or stainless steel with gold or gunmetal ionic plating
Imported
Item #1058442",11,4.8,"['Perfect gift\nI gifted this watch to my husband for his birthday and he loved it! The watch is beautiful, high quality and elegant. It can be dressed up or down and a timeless classic. We were both very happy with this purchase!\nLilimarie305 Sweepstakes entry\nMay 3, 2020', 'Beautiful Watch, Great Nordstrom Experience\nPurchased this beautiful watch as a Christmas gift for my dad... The watch was ordered and arrived 2 days later with expedited shipping... It was packaged and secured very well... This Movado is a very versatile time piece, dressed up or down, it looks great... My dad loves it!!!\nSommie23 Sweepstakes entry\nJan 9, 2019', 'A ""Watch persons"" must have\nMovado never disappoints. This is a gorgeous watch. The styling is timeless and sleek. The band and dial size is perfect for a mans wrist. I purchased this for my husband for Christmas. He loved it but unfortunately couldn\'t see the black hands too well especially under dark conditions. He had to exchange for the same watch with a streak of white on the hands.\nPaLisa\nJan 8, 2019', 'Perfect design and luxury Watch\nI bought same two watchs. I think perfect design and really comfortable. I like this movado watch I waiting for New movado model ~\nIan85 Sweepstakes entry\nDec 30, 2018', 'Happy with purchase\nWhat a beautiful watch! Got this for my husband for Christmas and he absolutely LOVES it!!\nivili Sweepstakes entry\nDec 27, 2018', ""Perfect watch\nThis watch is a work of art. It is absolutely stunning. The gunmetal was an excellent choice. My husband doesn't normally get excited over material objects but this went on his wrist as soon as it was out of the box. Shipping was lightening fast, as usual. This beauty at my doorstep 2 days after ordering! Thanks again, Nordstrom!\nPaLisa\nDec 11, 2018"", 'Product Satisfaction\nAlthough the shipping was horrible and made me miss the date of my anniversary, the product did not disappoint at all. I love this watch and my spouse does as well! I am a very frequent shopper of Nordstrom and as always I am very pleased with my purchase!\nJaiBritt Sweepstakes entry\nJan 30, 2018', ""Once agin AMAZING!\nOkay for this works I need to give 10 Stars! This is my 5th watch already and every each of them it's a big wow. This is why I love Nordstrom!❤\nLAYANIB Sweepstakes entry\nJan 21, 2018"", 'Movado Bold Watch - Will buy again!\nThis watch was even more beautiful in person. It was a gift to my husband and he absolutely loved it. The gunmetal was a perfect color choice as it can go with anything and is very versatile. Online ordering through Nordstrom was an easy process and I received the watch within 5 business days. Definitely plan on ordering online again! Very easy process!\nCait858 Sweepstakes entry\nAug 18, 2017', 'Beautiful Watch\nI bought this as a gift and it is a beautiful watch. Even nicer in person than online.\nSoManyChoices Sweepstakes entry\nAug 16, 2017', 'Perfect Movado Present\nThis is the most perfect watch as a gift, perfect fit and a guaranteed warranty with purchase what else can you ask for.\nHarsimratAntelope, CA, USA\nNov 23, 2015']",https://shop.nordstrom.com/s/movado-bold-chronograph-bracelet-watch-44mm/3971613?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gold
"Bold Pavé Dot Ceramic Bracelet Watch, 36mm",5402190,Gold/ Beige/ Gold,Yes,$486.50,"A blend of everyday style and cocktail-hour elegance, this bold sunray dial features ceramic links, a mirror bezel and pavé crystal Museum dot.","36mm case; 18mm band width
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store.
Butterfly clasp closure
Swiss quartz movement
Mineral crystal face
Stainless steel or stainless steel with ionic plate/ceramic
Imported
Item #5923949",1,5,"['Ceramic looks cheap\nI guess I didn’t pay close enough attention to the description or images. Was super excited to find this watch in sliver as I have the gold 34mm and then when I got it in the mail and opened the box, noticed the ugly white ceramic in the bands— wasn’t all silver like I’d hoped. Sadly, will be returning.\nAshleyJ88 Sweepstakes entry\nJune 18, 2020', 'BEAUTIFUL WATCH\nThis watch is more beautiful than I expected. The quality speaks for itself. This is my second Movado watch so I know that this is not just a beautiful watch but that I know that I can always depend on it to keep accurate time. I’ve been looking for a gold watch and the ceramic detail on this watch made it irresistible!\nGrace711 Sweepstakes entry\nFeb 9, 2020']",https://shop.nordstrom.com/s/movado-bold-pave-dot-ceramic-bracelet-watch-36mm/5402190?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gold%2F%20beige%2F%20gold
"Bold Pavé Dot Ceramic Bracelet Watch, 36mm",5402190,Silver,Yes,$416.50,"A blend of everyday style and cocktail-hour elegance, this bold sunray dial features ceramic links, a mirror bezel and pavé crystal Museum dot.","36mm case; 18mm band width
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store.
Butterfly clasp closure
Swiss quartz movement
Mineral crystal face
Stainless steel or stainless steel with ionic plate/ceramic
Imported
Item #5923949",1,5,"['Ceramic looks cheap\nI guess I didn’t pay close enough attention to the description or images. Was super excited to find this watch in sliver as I have the gold 34mm and then when I got it in the mail and opened the box, noticed the ugly white ceramic in the bands— wasn’t all silver like I’d hoped. Sadly, will be returning.\nAshleyJ88 Sweepstakes entry\nJune 18, 2020', 'BEAUTIFUL WATCH\nThis watch is more beautiful than I expected. The quality speaks for itself. This is my second Movado watch so I know that this is not just a beautiful watch but that I know that I can always depend on it to keep accurate time. I’ve been looking for a gold watch and the ceramic detail on this watch made it irresistible!\nGrace711 Sweepstakes entry\nFeb 9, 2020']",https://shop.nordstrom.com/s/movado-bold-pave-dot-ceramic-bracelet-watch-36mm/5402190?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gold%2F%20beige%2F%20gold
